Pairing Food,Product,Grape,Popularity,Critics' Score,Avg. Price kr / 750ml
beef and venison,"Chateau Mouton Rothschild, Pauillac, France",Bordeaux Blend Red,1st,96 / 100,"7,926"
beef and venison,"Chateau Lafite Rothschild, Pauillac, France",Bordeaux Blend Red,3rd,96 / 100,"10,564"
beef and venison,"Petrus, Pomerol, France",Merlot,4th,96 / 100,"47,971"
beef and venison,"Tenuta San Guido Sassicaia Bolgheri, Tuscany, Italy",Cabernet Franc - Cabernet Sauvignon,5th,95 / 100,"3,930"
beef and venison,"Chateau Margaux, Margaux, France",Bordeaux Blend Red,6th,96 / 100,"8,419"
beef and venison,"Opus One, Napa Valley, USA",Bordeaux Blend Red,7th,94 / 100,"4,889"
beef and venison,"Chateau Latour, Pauillac, France",Cabernet Sauvignon - Merlot,8th,96 / 100,"8,832"
beef and venison,"Chateau Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,10th,96 / 100,"7,074"
beef and venison,"Marchesi Antinori Tignanello Toscana IGT, Tuscany, Italy",Cabernet - Sangiovese,13th,94 / 100,"2,038"
beef and venison,"Chateau Lynch-Bages, Pauillac, France",Bordeaux Blend Red,15th,94 / 100,"1,838"
beef and venison,"Chateau Pontet-Canet, Pauillac, France",Bordeaux Blend Red,16th,95 / 100,"1,505"
beef and venison,"Chateau Cheval Blanc, Saint-Emilion, France",Bordeaux Blend Red,18th,96 / 100,"8,313"
beef and venison,"Chateau Montrose, Saint-Estephe, France",Bordeaux Blend Red,19th,95 / 100,"2,158"
beef and venison,"Chateau Cos d'Estournel, Saint-Estephe, France",Bordeaux Blend Red,20th,95 / 100,"2,438"
beef and venison,"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France",Bordeaux Blend Red,21st,96 / 100,"3,091"
beef and venison,"Masseto Toscana IGT, Tuscany, Italy",Merlot,22nd,96 / 100,"11,270"
